Event,City,Country,Continent,Owner,Lat,Lon,URL,Status,Date,Year,Quarter,Estimated_Attendees,Ticket_Price,Sponsors,Invited_Speakers,Additional_Info
Berlin2019,Berlin,German,Europe,N/A,52.5128° N,13.3892° E,https://berlin2019.satrdays.org/,Past,6/15/2019,2019,Second,N/A,€40 per ticket (€20 for students),AUTO1/EUROPACE/R consortium/R studio/jumping rivers,ISABELLA GOLLINI/UWE LIGGES,
Kampala2019,Kampala,Uganda,Africa,N/A,0.322888° N,32.576492° E,https://kampala2019.satrdays.org/,Past,5/25/2019,2019,Second,N/A,Free,zindi/outbox/R studio/jumping rivers,STEPH LOCKE/Shelmith Kariuki,
Gdansk2019,Gdansk,Poland,Europe,N/A,,,https://gdansk2019.satrdays.org/,Past,5/18/2019,2019,Second,N/A,Only conference: 70 PLN Only workshops: 140 PLN Conference & Workshops: 140 PLN,jeppesen/udemy/appsilon/best/R consortium/ergo hestia/pwc/stickermule/infoshare academy/R studio/jumping rivers,Przemyslaw Biecek/Hanna Piotrowska/Błażej Kochański/Agnieszka Król,
Chicago2019,Chicago,US,North America,N/A,41.8763° N,87.6251° W,https://chicago2019.satrdays.org/,Past,4/27/2019,2019,First,N/A,N/A,capitalone/microsoft/uptake/braintree/R consortium/satRday/METIS/Roosevelt University/R studio,Stephanie Kirmer/JD Long,
LosAngeles2019,LosAngeles,US,North America,N/A,34.0702° N,118.4452° W,http://losangeles2019.satrdays.org/,Past,4/6/2019,2019,First,N/A,N/A,UCLA Alumni/R studio/Ipsos/System1/UCLA library data science center,Norm Matloof/Erin LeDell,
NewcastleuponTyne2019,Newcastle upon Tyne,Britain,Europe,N/A,54.9792° N,1.6147° W,https://newcastle2019.satrdays.org/,Past,4/6/2019,2019,First,N/A,£30.00,Newcastle university/sage/jumping rivers,Robin Lovelace/Noa Tamir/Thomas Lin Pedersen,
Johannesburg2019,Johannesburg,SouthAfrica,Africa,N/A,26.1130° S,28.0530° E,https://joburg2019.satrdays.org/,Past,4/6/2019,2019,First,N/A,N/A,rain/vantage/discovery/rstudio/exegetic/chalcid/syeop/offerzen/derivco,Omayma Said/Danielle Navarro,
Paris2019,Paris,France,Europe,N/A,48.8398° N,2.3477° E,https://paris2019.satrdays.org/,Past,2/23/2019,2019,First,N/A,Some are free tickets and some are charged with an unknown price,AgroParisTech/Gandi/RTE/SAMM/Dataiku/RStudio/ArData/dreamRs/EDF/Esti/H2O/Servier,Lionel Henry/Henrik Bengtsson/Suzan Baert/Bea Hernandez/Denis Roussel/Kim Antunez/Timothée Giraud/Fanny Meyer/Victor Perrier/Corentin Roquebert/Lyon Andrew B. Collier/Sebastien Rochette,
WashingtonDC2018,Washington DC,US,North America,N/A,38.8997° N,77.0486° W,https://dc2018.satrdays.org/,Past,12/8/2018,2018,Fourth,N/A,$25 for students $50 for professionals,N/A,Matthew Hendrickson/Helen Levy-Myers/Minh Tran/Tony McGovern/David Meza/Wendy Wong/Daniel Chen/Benjamin Harvey/Charlie Thompson/Michael Lee/Katherine Ognyanova/Tyler Morgan-Wall/Martin Skarzynski/Gwynn Sturdevant/David Smith,
Santiago2018,Santiago,Chile,South America,N/A,33.4409° S,70.6411° W,https://santiago2018.satrdays.org/,Past,12/15/2018,2018,Fourth,N/A,$5000 to $10000,datauc/metricarts/microsoft,Soledad Araya/Stefanni Cavaletto/Rodrigo Cofré/Claudia Chávez/ Paul Dassori/Adrián Fernández/Daniel Fischer/Mónica Flores/Ismael Gómez/Lirayén JaraMiguel Jorquera/Christian Willig,
Belgrade2018,Belgrade,Serbia,Europe,N/A,44.8217° N,20.4651° E,https://belgrade2018.satrdays.org/,Past,10/27/2018,2018,Fourth,N/A,N/A,Rconsortium,Mariachiara Fortuna/Andrea Melloncelli,
Amsterdam2018,Amsterdam,Netherland,Europe,N/A,52.3522° N,4.9129° E,https://amsterdam2018.satrdays.org/,Past,9/1/2018,2018,Fourth,N/A,40 euros,Godatadriven/uber/rstudio/lockedata,Mara Averick,
Cardiff2018,Cardiff,Britain,Europe,N/A,51.4866° N,3.1789° W,http://cardiff2018.satrdays.org/,Past,6/23/2018,2018,Second,N/A,Normal ticket: £30 Student ticket: £20 Group ticket: £120 for 5 named attendees,Cardiff university/ locke data/jumping rivers/ sorenson media,Heather Turner/Stephanie Locke/Kathrine Tansey,
Capetown2018,Capetown,SouthAfrica,Africa,N/A,33.9070° S,18.4185° E,http://capetown2018.satrdays.org/,Past,3/17/2018,2018,First,N/A,R500 and R1500 for conference and workshop respectively,microsoft/vantage/offerzen/university of cape town/rstudio/derivco/toptal/opsi/bain&company/jumping rivers/datacamp/GenRe,Maëlle Salmon/Stephanie Kovalchik,
Capetown2017,Capetown,SouthAfrica,Africa,N/A,33.9070° S,18.4185° E,http://capetown2017.satrdays.org/,Past,2/17/2017,2017,First,N/A,R200 and R1500 for day passes and training passes respectively,microsoft/vantage/university of cape town/derivco/rconsortium,Steph Locke/Jennifer Bryan/Julia Silge,
Budapest2016,Budapest,Hungary,Europe,N/A,47.5012° N,19.0464° E,http://budapest2016.satrdays.org/,Past,9/3/2016,2016,Fourth,N/A,10 euros to 30 euros,Data solutions/hiflylabs/kogentum/precognox/quanopt/rapidminer/synetiq/ustream,Gábor Csárdi/Jeroen Ooms,
